"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"650","650",14.758959,95.3895,99.6678,-10,0.82014765,-0.273272116290045,0.439281968487896,0.458905895929634,-1.19787324612658
"651","651",14.760624,95.3895,99.08343,-10,1.02576617,-0.273272116290045,0.622465427119023,0.458905895929634,-1.28733626137368
"652","652",14.762292,95.3895,97.7199,-10,1.255795,-0.273272116290045,0.827395783899491,0.458905895929634,-1.49608329695023
"653","653",14.763958,95.3895,97.7199,-10,1.3614861,-0.273272116290045,0.92155491530715,0.458905895929634,-1.49608329695023
"654","654",14.765624,95.3895,97.7199,-10,1.3427433,-0.273272116290045,0.90485714446223,0.458905895929634,-1.49608329695023
"655","655",14.767293,92.715851,97.7199,-10,1.2589903,-0.273272116290045,0.830242444333405,0.0854065328359498,-1.49608329695023
"656","656",14.76896,92.3854,97.7199,-10,1.167325,-0.273272116290045,0.748578756206188,0.0392436902063937,-1.49608329695023
"657","657",14.770623,92.3854,98.381129,-10,1.0987423,-0.273272116290045,0.687479122825591,0.0392436902063937,-1.39485369907762
"658","658",14.772292,92.3854,100,-10,1.0415373,-0.273272116290045,0.636515767233917,0.0392436902063937,-1.14701571807914
"659","659",14.773958,92.3854,100,-10,0.96832268,-0.273272116290045,0.571289603199842,0.0392436902063937,-1.14701571807914
"660","660",14.775626,92.3854,100,-10,0.87853397,-0.273272116290045,0.491297750112741,0.0392436902063937,-1.14701571807914
"661","661",14.777292,92.3854,100,-10,0.80628969,-0.273272116290045,0.426936052164931,0.0392436902063937,-1.14701571807914
"662","662",14.778959,92.3854,100,-10,0.76856077,-0.273272116290045,0.393323739149464,0.0392436902063937,-1.14701571807914
"663","663",14.780623,92.3854,99.7934,-10,0.76242072,-0.273272116290045,0.387853630741097,0.0392436902063937,-1.17864475268059
"664","664",14.782292,92.3854,99.1736,-10,0.77687976,-0.273272116290045,0.400735043153198,0.0392436902063937,-1.27353185648494
"665","665",14.783958,89.508564,99.1736,-10,0.77754216,-0.273272116290045,0.401325168609782,-0.362640182255916,-1.27353185648494
"666","666",14.785626,89.153,99.1736,-10,0.6941528,-0.273272116290045,0.32703443167696,-0.412311222672607,-1.27353185648494
"667","667",14.787292,89.153,99.1736,-10,0.67487183,-0.273272116290045,0.309857210625262,-0.412311222672607,-1.27353185648494
"668","668",14.788957,89.153,99.1736,-9.9097564,0.88392349,0.0814001884436179,0.496099218939389,-0.412311222672607,-1.27353185648494
"669","669",14.790624,89.153,99.431884,-9.2956547,1.2690275,2.49492164902207,0.839184484238042,-0.412311222672607,-1.23399035806771
"670","670",14.792292,89.153,100.167,-8.5206574,1.623993,5.5407894840083,1.15541965597611,-0.412311222672607,-1.1214491702648
"671","671",14.793959,89.153,100.167,-9.80956959322676,1.8293944,0.475150943756701,1.33840968459647,-0.412311222672607,-1.1214491702648
"672","672",14.795625,89.153,100.167,-9.80956959322676,1.8831904,0.475150943756701,1.38633599658685,-0.412311222672607,-1.1214491702648
"673","673",14.797292,89.153,100.167,-9.80956959322676,1.849304,0.475150943756701,1.3561469457535,-0.412311222672607,-1.1214491702648
"674","674",14.798957,89.153,100.167,-9.80956959322676,1.7841795,0.475150943756701,1.2981281877563,-0.412311222672607,-1.1214491702648
"675","675",14.800625,88.374428,103.12436,-9.80956959322676,1.7312806,0.475150943756701,1.25100109307736,-0.5210749931311,-0.668697758024017
"676","676",14.802292,88.2782,105.448,-8.2716308,1.6996581,6.51950529501303,1.2228289278436,-0.534517706333834,-0.312964505549115
"677","677",14.80396,88.2782,105.448,-8.9738986,1.6717257,3.75947644902023,1.19794423535642,-0.534517706333834,-0.312964505549115
"678","678",14.805624,88.2782,105.448,-9.530536,1.6317808,1.57179921142165,1.16235772818443,-0.534517706333834,-0.312964505549115
"679","679",14.807292,88.2782,105.448,-9.7387785,1.5987616,0.753371672864902,1.13294125705511,-0.534517706333834,-0.312964505549115
"680","680",14.808958,88.2782,105.53953,-9.6899537,1.5714994,0.94526122895708,1.10865363896559,-0.534517706333834,-0.298951894043447
"681","681",14.810625,88.2782,108.499,-9.7011506,1.5371673,0.901255556212727,1.07806751851267,-0.534517706333834,0.154122544639782
"682","682",14.812292,88.2782,108.499,-9.819516,1.5051574,0.436059916646914,1.04955022253935,-0.534517706333834,0.154122544639782
"683","683",14.81396,88.2782,108.499,-9.9565493,1.4583282,-0.102503663886876,1.00783056216572,-0.534517706333834,0.154122544639782
"684","684",14.815623,88.2782,108.499,-10,1.3373536,-0.273272116290045,0.900055515275403,-0.534517706333834,0.154122544639782
"685","685",14.817291,92.629855,108.499,-10,1.08147262,-0.273272116290045,0.672093739680859,0.0733931940511625,0.154122544639782
"686","686",14.818959,93.1677,108.70388,-10,0.55818787,-0.273272116290045,0.205904651490141,0.148528249154927,0.185488259108055
"687","687",14.820625,93.1677,108.893,-10,-0.05484927774,-0.273272116290045,-0.340243939562721,0.148528249154927,0.214441226309538
"688","688",14.822292,93.1677,108.893,-10,-0.47068177,-0.273272116290045,-0.710704898737937,0.148528249154927,0.214441226309538
"689","689",14.823958,93.1677,108.893,-10,-0.84747935,-0.273272116290045,-1.04639004960975,0.148528249154927,0.214441226309538
"690","690",14.825624,93.1677,108.893,-10,-1.8247651,-0.273272116290045,-1.91704403426014,0.148528249154927,0.214441226309538
"691","691",14.827291,93.1677,109.15916,-10,-2.9520321,-0.273272116290045,-2.92131479674172,0.148528249154927,0.255188485987767
"692","692",14.82896,93.1677,111.111,-10,-3.47857,-0.273272116290045,-3.39040208334592,0.148528249154927,0.554001723628114
"693","693",14.830625,93.1677,111.111,-10,-3.4709836,-0.273272116290045,-3.38364343635945,0.148528249154927,0.554001723628114
"694","694",14.832293,93.1677,111.111,-10,-3.2233951,-0.273272116290045,-3.16306934727792,0.148528249154927,0.554001723628114
"695","695",14.833957,95.70242,111.111,-10,-2.8837339,-0.273272116290045,-2.86046862153202,0.502619719509047,0.554001723628114
"696","696",14.835624,96.0157,111.111,-10,-2.5330196,-0.273272116290045,-2.54802080085227,0.546383833822478,0.554001723628114
"697","697",14.837293,96.0157,115.08582,-10,-2.2055204,-0.273272116290045,-2.25625507782826,0.546383833822478,1.16251924209151
"698","698",14.838959,96.0157,115.385,-10,-1.9308019,-0.273272116290045,-2.01151114629935,0.546383833822478,1.20832163595435
"699","699",14.840625,96.0157,115.385,-10,-1.7113158,-0.273272116290045,-1.81597320098461,0.546383833822478,1.20832163595435
"700","700",14.842292,96.0157,115.385,-10,-1.4809082,-0.273272116290045,-1.61070540184425,0.546383833822478,1.20832163595435
"701","701",14.843958,96.0157,115.385,-10,-1.2158143,-0.273272116290045,-1.37453592905545,0.546383833822478,1.20832163595435
"702","702",14.845624,96.0157,117.7285,-10,-0.88067941,-0.273272116290045,-1.07596764708278,0.546383833822478,1.56709531740885
"703","703",14.847293,96.0157,118.11,-10,-0.377285757,-0.273272116290045,-0.627499335913646,0.546383833822478,1.62550033532005
"704","704",14.848959,96.0157,118.11,-9.7987305,0.18334351046,0.517750376580268,-0.128040395040235,0.546383833822478,1.62550033532005
"705","705",14.850624,101.087187,118.11,-9.0790773,0.61914676,3.34610672598292,0.260212309693859,1.2548527332322,1.62550033532005
"706","706",14.852291,101.714,118.11,-8.3813077,0.83826604,6.08845690045604,0.455423458782776,1.34241630506936,1.62550033532005
"707","707",14.853958,101.714,120.62504,-9.80956959322676,0.83125615,0.475150943756701,0.449178418721094,1.34241630506936,2.01053560726599
"708","708",14.855625,101.714,120.968,-9.80956959322676,0.32806704693,0.475150943756701,0.000892339014570439,1.34241630506936,2.0630404170768
"709","709",14.857292,101.714,120.968,-9.80956959322676,-0.78605345,0.475150943756701,-0.991666336923121,1.34241630506936,2.0630404170768
"710","710",14.858959,101.714,120.968,-9.80956959322676,-1.6909943,0.475150943756701,-1.79786898228596,1.34241630506936,2.0630404170768
"711","711",14.860624,101.714,120.968,-9.80956959322676,-1.8350158,0.475150943756701,-1.92617627915418,1.34241630506936,2.0630404170768
"712","712",14.862291,101.714,121.92151,-9.80956959322676,-1.5004304,0.475150943756701,-1.62809753226173,1.34241630506936,2.20901621951063
"713","713",14.863959,101.714,121.951,-8.3714261,-0.86824939,6.12729322620608,-1.06489386805522,1.34241630506936,2.21353093504982
"714","714",14.865626,101.714,121.951,-8.9920071,0.3604278919,3.68830704276572,0.0297222883101413,1.34241630506936,2.21353093504982
"715","715",14.867292,102.15989,121.951,-9.5413481,2.0193239,1.52930586645302,1.50761595408076,1.40470557004387,2.21353093504982
"716","716",14.868958,102.215,121.98088,-9.9335478,3.5235867,-0.0121039566795875,2.84774845962619,1.41240424324297,2.21810535689828
"717","717",14.870624,102.215,122.449,-10,0.168476383999087,-0.273272116290045,-0.141285367550574,1.41240424324297,2.28977129919078
"718","718",14.872292,102.215,122.449,-10,0.168476383999087,-0.273272116290045,-0.141285367550574,1.41240424324297,2.28977129919078
"719","719",14.873959,102.215,122.449,-10,3.825076,-0.273272116290045,3.11634222595754,1.41240424324297,2.28977129919078
"720","720",14.875626,102.215,122.449,-10,3.0368927,-0.273272116290045,2.4141577003161,1.41240424324297,2.28977129919078
"721","721",14.877291,102.215,122.957,-10,2.4054775,-0.273272116290045,1.85163628848867,1.41240424324297,2.36754259433859
"722","722",14.878958,102.215,124.481,-10,1.9802524,-0.273272116290045,1.47280755013005,1.41240424324297,2.60085647978201
"723","723",14.880623,102.215,124.481,-10,1.7434232,-0.273272116290045,1.26181881253558,1.41240424324297,2.60085647978201
"724","724",14.882293,102.215,124.481,-10,1.596625,-0.273272116290045,1.13103778173727,1.41240424324297,2.60085647978201
"725","725",14.883959,102.21678,124.481,-10,1.4793763,-0.273272116290045,1.02658210145125,1.41265290298338,2.60085647978201
"726","726",14.885624,102.217,124.481,-10,1.4256478,-0.273272116290045,0.978715924527782,1.41268363620973,2.60085647978201
"727","727",14.887292,102.217,124.481,-10,1.5106595,-0.273272116290045,1.0544519877487,1.41268363620973,2.60085647978201
"728","728",14.888958,102.217,124.481,-10,1.7000852,-0.273272116290045,1.22320942691139,1.41268363620973,2.60085647978201
"729","729",14.890624,102.217,124.481,-10,1.8624605,-0.273272116290045,1.36786793846116,1.41268363620973,2.60085647978201
"730","730",14.892293,102.217,124.481,-10,1.898218,-0.273272116290045,1.39972393334918,1.41268363620973,2.60085647978201
"731","731",14.89396,102.217,123.42436,-10,1.7981963,-0.273272116290045,1.31061561302782,1.41268363620973,2.43909218587457
"732","732",14.895623,102.217,122.449,-10,1.5492675,-0.273272116290045,1.08884746423998,1.41268363620973,2.28977129919078
"733","733",14.897292,102.217,122.449,-10,1.2141936,-0.273272116290045,0.790333517641096,1.41268363620973,2.28977129919078
"734","734",14.898958,102.217,122.449,-10,0.89795831,-0.273272116290045,0.50860269804655,1.41268363620973,2.28977129919078
"735","735",14.900626,98.861433,122.449,-10,0.64935914,-0.273272116290045,0.287128213289887,0.943922726562208,2.28977129919078
"736","736",14.902292,98.4467,120.53984,-10,0.56948546,-0.273272116290045,0.215969560090769,0.885985984920379,1.99749207508766
"737","737",14.903959,98.4467,118.11,-10,0.65815732,-0.273272116290045,0.29496642281527,0.885985984920379,1.62550033532005
"738","738",14.905623,98.4467,118.11,-10,0.84564207,-0.273272116290045,0.461994689265162,0.885985984920379,1.62550033532005
"739","739",14.907292,98.4467,118.11,-10,1.04563593,-0.273272116290045,0.640167195223231,0.885985984920379,1.62550033532005
"740","740",14.908958,98.4467,118.11,-10,1.1709783,-0.273272116290045,0.751833444205193,0.885985984920379,1.62550033532005
"741","741",14.910626,98.4467,117.66354,-10,1.1956242,-0.273272116290045,0.773790227101388,0.885985984920379,1.55715038958837
"742","742",14.912292,98.4467,111.732,-10,1.1289673,-0.273272116290045,0.714406269451906,0.885985984920379,0.649072539153287
"743","743",14.913957,98.4467,111.732,-10,0.99760741,-0.273272116290045,0.597379072798586,0.885985984920379,0.649072539153287
"744","744",14.915624,98.4467,111.732,-10,0.76766362,-0.273272116290045,0.392524477293524,0.885985984920379,0.649072539153287
"745","745",14.917292,98.658075,111.732,-10,0.58895267,-0.273272116290045,0.233312700473739,0.915514329094925,0.649072539153287
"746","746",14.918959,98.6842,111.732,-10,0.57978212,-0.273272116290045,0.225142750283699,0.919163899723238,0.649072539153287
"747","747",14.920625,98.6842,109.60564,-10,0.30545956,-0.273272116290045,-0.0192484423060781,0.919163899723238,0.323541493581453
"748","748",14.922292,98.6842,107.72,-10,0.19344173,-0.273272116290045,-0.119043993444923,0.919163899723238,0.0348630192064324
"749","749",14.923957,98.6842,107.72,-10,0.30278628,-0.273272116290045,-0.0216300404047777,0.919163899723238,0.0348630192064324
"750","750",14.925625,98.6842,107.72,-10,0.42618407,-0.273272116290045,0.0883038019341203,0.919163899723238,0.0348630192064324
"751","751",14.927292,98.6842,107.72,-10,0.47372443,-0.273272116290045,0.130657027554891,0.919163899723238,0.0348630192064324
"752","752",14.92896,98.6842,107.72,-10,0.40333253,-0.273272116290045,0.067945596203199,0.919163899723238,0.0348630192064324
"753","753",14.930624,98.6842,105.87968,-10,0.2786102,-0.273272116290045,-0.0431682654174995,0.919163899723238,-0.246877275845561
"754","754",14.932292,98.6842,105.448,-10,0.1595917,-0.273272116290045,-0.149200642613332,0.919163899723238,-0.312964505549115
"755","755",14.933958,97.616823,105.448,-10,0.080279565,-0.273272116290045,-0.219859021054724,0.770055086382051,-0.312964505549115
"756","756",14.935625,97.4849,105.448,-10,0.062365725,-0.273272116290045,-0.235818279824628,0.751625907205051,-0.312964505549115
"757","757",14.937292,97.4849,105.448,-10,0.108047515,-0.273272116290045,-0.195120835408333,0.751625907205051,-0.312964505549115
"758","758",14.93896,97.4849,105.92617,-10,0.19557493,-0.273272116290045,-0.117143547152673,0.751625907205051,-0.239759977594731
"759","759",14.940623,97.4849,107.527,-10,0.24810495,-0.273272116290045,-0.0703450839327149,0.751625907205051,0.00531605077429339
"760","760",14.942291,97.4849,107.527,-10,-0.01219175938,-0.273272116290045,-0.302240788145204,0.751625907205051,0.00531605077429339
"761","761",14.943959,97.4849,107.527,-10,-0.98101182,-0.273272116290045,-1.1653527757988,0.751625907205051,0.00531605077429339
"762","762",14.945625,97.4849,107.527,-10,-2.158951,-0.273272116290045,-2.21476687064548,0.751625907205051,0.00531605077429339
"763","763",14.947292,97.4849,107.527,-10,-2.7347681,-0.273272116290045,-2.72775649782958,0.751625907205051,0.00531605077429339
"764","764",14.948958,97.4849,109.37014,-10,-2.7130918,-0.273272116290045,-2.70844530152135,0.751625907205051,0.287488068370218
"765","765",14.950624,98.490155,109.89,-10,-2.3164794,-0.273272116290045,-2.35510732803535,0.892056495605676,0.367075047692144
"766","766",14.952291,98.6144,109.89,-10,-1.7543064,-0.273272116290045,-1.85427309146445,0.909413085183282,0.367075047692144
"767","767",14.95396,98.6144,109.89,-10,-1.2306364,-0.273272116290045,-1.38774078794742,0.909413085183282,0.367075047692144
"768","768",14.955625,98.6144,109.89,-10,-0.82239993,-0.273272116290045,-1.02404704813273,0.909413085183282,0.367075047692144
"769","769",14.957293,98.6144,112.06256,-10,-0.52593383,-0.273272116290045,-0.759928399847149,0.909413085183282,0.699678994515609
"770","770",14.958957,98.6144,114.068,-10,-0.35019229,-0.273272116290045,-0.60336204034626,0.909413085183282,1.00669802235265
"771","771",14.960624,98.6144,114.068,-10,-0.28258673,-0.273272116290045,-0.543132931103113,0.909413085183282,1.00669802235265
"772","772",14.962293,98.6144,114.068,-10,-0.28679507,-0.273272116290045,-0.546882098621174,0.909413085183282,1.00669802235265
"773","773",14.963959,98.6144,114.068,-10,-0.32323917,-0.273272116290045,-0.579349778500879,0.909413085183282,1.00669802235265
"774","774",14.965625,98.6144,114.014,-10,-0.37570802,-0.273272116290045,-0.626093745986871,0.909413085183282,0.99843099491568
"775","775",14.967292,101.664074,113.852,-10,-0.54970093,-0.273272116290045,-0.781102268716703,1.3354418184401,0.973629912604766
"776","776",14.968958,102.041,113.852,-9.9996796,-1.07554321,-0.272012891187804,-1.2495698345025,1.38809705513477,0.973629912604766
